S Q Qlo Qhi K SCI
10 0.8027 0.8027 0.8027 0.7917171159991361 0.8173335684852773
20 0.7186 0.7186 0.7186 0.8274473098544544 0.59229068026752
30 0.7049 0.7049 0.7049 0.6865988693882614 0.692086550270115
40 0.7251 0.7247 0.7256 0.7235648230142473 0.5818801096723124
60 0.7229 0.7048 0.7409 0.7190079331537015 0.6133646917547833
80 0.6020 0.5713 0.6327 0.7571119640440798 0.4806351349233907
120 0.2231 0.2149 0.2314 0.7335767614055385 0.550102335500237
160 0.0853 0.0834 0.0872 0.7284759852656468 0.6629626698304186
200 0.0415 0.0378 0.0452 0.7286253478677244 0.4306850421580762
260 0.0338 0.0292 0.0384 0.4381516268713301 0.008292444081364462
