w Aex Asm
5.687888e+00 7.624715e-03 7.585537e-03
5.728223e+00 8.090523e-03 8.046892e-03
5.768557e+00 8.605980e-03 8.557140e-03
5.808892e+00 9.178981e-03 9.124002e-03
5.849227e+00 9.819124e-03 9.756855e-03
5.889561e+00 1.053818e-02 1.046718e-02
5.929896e+00 1.135073e-02 1.126918e-02
5.970230e+00 1.227499e-02 1.218056e-02
6.010565e+00 1.333401e-02 1.322371e-02
6.050900e+00 1.455729e-02 1.442717e-02
6.091234e+00 1.598305e-02 1.582788e-02
6.131569e+00 1.766153e-02 1.747428e-02
6.171903e+00 1.965973e-02 1.943076e-02
6.212238e+00 2.206846e-02 2.178437e-02
6.252573e+00 2.501281e-02 2.465469e-02
6.292907e+00 2.866811e-02 2.820875e-02
6.333242e+00 3.328401e-02 3.268379e-02
6.373576e+00 3.922093e-02 3.842161e-02
6.413911e+00 4.700271e-02 4.591887e-02
6.454246e+00 5.738358e-02 5.589377e-02
6.494580e+00 7.139889e-02 6.934716e-02
6.534915e+00 9.026571e-02 8.751339e-02
6.575249e+00 1.147168e-01 1.113527e-01
6.615584e+00 1.429498e-01 1.398041e-01
6.655919e+00 1.674007e-01 1.664899e-01
6.696253e+00 1.762172e-01 1.794037e-01
6.736588e+00 1.652724e-01 1.715198e-01
6.776922e+00 1.439648e-01 1.502024e-01
6.817257e+00 1.236636e-01 1.277715e-01
6.857591e+00 1.096040e-01 1.109387e-01
6.897926e+00 1.023367e-01 1.010798e-01
6.938261e+00 1.002186e-01 9.725442e-02
6.978595e+00 1.003629e-01 9.742082e-02
7.018930e+00 1.002458e-01 9.891665e-02
7.059264e+00 1.001550e-01 1.003132e-01
7.099599e+00 1.025886e-01 1.029681e-01
7.139934e+00 1.097905e-01 1.094221e-01
7.180268e+00 1.231327e-01 1.216175e-01
7.220603e+00 1.437378e-01 1.410254e-01
7.260937e+00 1.732071e-01 1.693512e-01
7.301272e+00 2.133056e-01 2.083932e-01
7.341607e+00 2.623998e-01 2.572617e-01
7.381941e+00 3.087493e-01 3.059654e-01
7.422276e+00 3.298330e-01 3.325155e-01
7.462610e+00 3.123399e-01 3.198961e-01
7.502945e+00 2.699644e-01 2.779653e-01
7.543280e+00 2.256996e-01 2.304977e-01
7.583614e+00 1.916457e-01 1.921372e-01
7.623949e+00 1.688033e-01 1.659378e-01
7.664283e+00 1.524682e-01 1.488927e-01
7.704618e+00 1.371527e-01 1.356365e-01
7.744953e+00 1.214359e-01 1.222903e-01
7.785287e+00 1.075782e-01 1.091980e-01
7.825622e+00 9.730474e-02 9.843123e-02
7.865956e+00 9.038358e-02 9.074087e-02
7.906291e+00 8.587809e-02 8.575755e-02
7.946625e+00 8.362729e-02 8.328254e-02
7.986960e+00 8.429261e-02 8.372676e-02
8.027295e+00 8.867698e-02 8.778350e-02
8.067629e+00 9.763739e-02 9.627883e-02
8.107964e+00 1.123555e-01 1.103592e-01
8.148298e+00 1.344657e-01 1.316369e-01
8.188633e+00 1.656252e-01 1.618783e-01
8.228968e+00 2.055701e-01 2.013615e-01
8.269302e+00 2.475016e-01 2.445917e-01
8.309637e+00 2.744533e-01 2.757060e-01
8.349971e+00 2.700445e-01 2.763132e-01
8.390306e+00 2.386074e-01 2.468003e-01
8.430641e+00 1.995071e-01 2.059537e-01
8.470975e+00 1.664367e-01 1.695659e-01
8.511310e+00 1.424826e-01 1.426540e-01
8.551644e+00 1.247549e-01 1.235668e-01
8.591979e+00 1.093747e-01 1.084758e-01
8.632314e+00 9.521093e-02 9.499633e-02
8.672648e+00 8.337458e-02 8.336965e-02
8.712983e+00 7.453067e-02 7.437883e-02
8.753317e+00 6.828625e-02 6.795711e-02
8.793652e+00 6.413995e-02 6.368391e-02
8.833987e+00 6.213330e-02 6.150378e-02
8.874321e+00 6.263073e-02 6.171687e-02
8.914656e+00 6.607880e-02 6.474677e-02
8.954990e+00 7.308694e-02 7.117175e-02
8.995325e+00 8.451287e-02 8.181870e-02
9.035659e+00 1.012226e-01 9.761014e-02
9.075994e+00 1.229671e-01 1.186777e-01
9.116329e+00 1.457458e-01 1.420145e-01
9.156663e+00 1.598441e-01 1.588673e-01
9.196998e+00 1.561427e-01 1.588819e-01
9.237332e+00 1.373474e-01 1.419795e-01
9.277667e+00 1.143955e-01 1.185323e-01
9.318002e+00 9.494036e-02 9.747367e-02
9.358336e+00 8.092383e-02 8.184696e-02
9.398671e+00 7.118121e-02 7.113943e-02
9.439005e+00 6.363775e-02 6.351778e-02
9.479340e+00 5.709577e-02 5.731762e-02
9.519675e+00 5.182623e-02 5.216789e-02
9.560009e+00 4.846706e-02 4.859875e-02
9.600344e+00 4.726035e-02 4.702748e-02
9.640678e+00 4.823891e-02 4.761778e-02
9.681013e+00 5.158863e-02 5.058980e-02
9.721348e+00 5.750388e-02 5.619183e-02
9.761682e+00 6.527343e-02 6.398467e-02
9.802017e+00 7.200870e-02 7.156472e-02
9.842351e+00 7.320854e-02 7.441486e-02
9.882686e+00 6.723853e-02 6.977643e-02
9.923021e+00 5.749717e-02 6.020652e-02
9.963355e+00 4.812960e-02 5.018193e-02
1.000369e+01 4.101897e-02 4.215466e-02
1.004402e+01 3.635596e-02 3.662231e-02
1.008436e+01 3.365851e-02 3.328872e-02
1.012469e+01 3.222402e-02 3.161451e-02
1.016503e+01 3.143430e-02 3.094614e-02
1.020536e+01 3.081339e-02 3.058811e-02
1.024570e+01 2.961714e-02 2.971666e-02
1.028603e+01 2.715580e-02 2.755558e-02
1.032637e+01 2.373057e-02 2.423029e-02
1.036670e+01 2.023569e-02 2.065261e-02
1.040704e+01 1.724524e-02 1.751881e-02
1.044737e+01 1.490399e-02 1.503326e-02
1.048770e+01 1.314086e-02 1.314410e-02
1.052804e+01 1.180157e-02 1.172084e-02
1.056837e+01 1.070406e-02 1.061193e-02
1.060871e+01 9.710111e-03 9.669439e-03
1.064904e+01 8.793166e-03 8.807142e-03
1.068938e+01 7.987966e-03 8.025586e-03
1.072971e+01 7.310200e-03 7.348598e-03
1.077005e+01 6.744783e-03 6.775826e-03
1.081038e+01 6.262791e-03 6.287386e-03
1.085072e+01 5.838071e-03 5.860426e-03
1.089105e+01 5.458418e-03 5.480301e-03
1.093139e+01 5.121026e-03 5.141668e-03
1.097172e+01 4.822833e-03 4.841523e-03
1.101205e+01 4.558674e-03 4.575356e-03
1.105239e+01 4.323052e-03 4.337970e-03
1.109272e+01 4.111211e-03 4.124661e-03
1.113306e+01 3.919333e-03 3.931577e-03
1.117339e+01 3.744401e-03 3.755647e-03
1.121373e+01 3.584021e-03 3.594415e-03
1.125406e+01 3.436269e-03 3.445906e-03
1.129440e+01 3.299585e-03 3.308531e-03
1.133473e+01 3.172678e-03 3.180997e-03
1.137507e+01 3.054467e-03 3.062222e-03
1.141540e+01 2.944036e-03 2.951282e-03
1.145574e+01 2.840604e-03 2.847388e-03
1.149607e+01 2.743496e-03 2.749859e-03
1.153640e+01 2.652130e-03 2.658108e-03
1.157674e+01 2.565994e-03 2.571622e-03
1.161707e+01 2.484640e-03 2.489949e-03
1.165741e+01 2.407673e-03 2.412689e-03
1.169774e+01 2.334741e-03 2.339489e-03
1.173808e+01 2.265532e-03 2.270033e-03
1.177841e+01 2.199766e-03 2.204037e-03
1.181875e+01 2.137189e-03 2.141249e-03
1.185908e+01 2.077577e-03 2.081440e-03
1.189942e+01 2.020723e-03 2.024402e-03
1.193975e+01 1.966442e-03 1.969950e-03
1.198008e+01 1.914565e-03 1.917912e-03
1.202042e+01 1.864936e-03 1.868133e-03
1.206075e+01 1.817416e-03 1.820472e-03
1.210109e+01 1.771874e-03 1.774798e-03
1.214142e+01 1.728193e-03 1.730992e-03
1.218176e+01 1.686262e-03 1.688944e-03
