S l1
6.900000000000000000e+01 5.917707469915594043e-01
1.010000000000000000e+02 6.169976620588599747e-01
1.270000000000000000e+02 6.430631718926808071e-01
1.510000000000000000e+02 5.652524290810401197e-01
1.770000000000000000e+02 4.080972342619345050e-01
1.990000000000000000e+02 1.780203181775524834e-01
2.080000000000000000e+02 8.988251829549274985e-02
2.220000000000000000e+02 5.612971378861635052e-02
2.270000000000000000e+02 4.488859475213123618e-02
2.350000000000000000e+02 3.047901507721670344e-02
2.360000000000000000e+02 3.017464021875814958e-02
2.390000000000000000e+02 2.506240681322876099e-02
2.400000000000000000e+02 2.498364481610625826e-02
