w A0 A1 A2 A3 A4 A5 A6 A7
-0.2000 0.01744 1.07174 2.12935 3.18968 4.24512 5.28264 6.32141 7.36776
-0.1984 0.01757 1.07191 2.12962 3.19012 4.24567 5.28303 6.32164 7.36793
-0.1968 0.01769 1.07209 2.12990 3.19055 4.24623 5.28342 6.32186 7.36811
-0.1952 0.01782 1.07226 2.13017 3.19100 4.24680 5.28382 6.32209 7.36829
-0.1936 0.01794 1.07244 2.13046 3.19145 4.24738 5.28422 6.32233 7.36847
-0.1920 0.01807 1.07262 2.13074 3.19191 4.24797 5.28464 6.32257 7.36865
-0.1904 0.01820 1.07280 2.13103 3.19238 4.24857 5.28506 6.32281 7.36884
-0.1888 0.01833 1.07298 2.13132 3.19286 4.24919 5.28549 6.32306 7.36903
-0.1872 0.01846 1.07317 2.13162 3.19334 4.24981 5.28592 6.32331 7.36922
-0.1856 0.01860 1.07336 2.13192 3.19383 4.25045 5.28637 6.32356 7.36941
-0.1840 0.01873 1.07355 2.13223 3.19433 4.25110 5.28682 6.32382 7.36961
-0.1824 0.01887 1.07374 2.13254 3.19484 4.25176 5.28728 6.32408 7.36981
-0.1808 0.01900 1.07393 2.13286 3.19536 4.25243 5.28775 6.32435 7.37002
-0.1792 0.01914 1.07413 2.13317 3.19589 4.25312 5.28823 6.32462 7.37022
-0.1776 0.01928 1.07433 2.13350 3.19642 4.25382 5.28871 6.32490 7.37043
-0.1760 0.01943 1.07453 2.13383 3.19697 4.25453 5.28921 6.32518 7.37065
-0.1744 0.01957 1.07474 2.13416 3.19752 4.25526 5.28971 6.32546 7.37086
-0.1728 0.01972 1.07495 2.13450 3.19808 4.25600 5.29023 6.32575 7.37109
-0.1712 0.01986 1.07516 2.13484 3.19866 4.25676 5.29076 6.32605 7.37131
-0.1696 0.02001 1.07537 2.13519 3.19924 4.25753 5.29129 6.32635 7.37154
-0.1680 0.02016 1.07558 2.13555 3.19983 4.25832 5.29184 6.32665 7.37177
-0.1664 0.02031 1.07580 2.13591 3.20044 4.25912 5.29239 6.32696 7.37200
-0.1648 0.02047 1.07602 2.13627 3.20105 4.25994 5.29296 6.32728 7.37224
-0.1632 0.02062 1.07625 2.13664 3.20168 4.26078 5.29354 6.32760 7.37248
-0.1616 0.02078 1.07647 2.13702 3.20232 4.26163 5.29413 6.32793 7.37273
-0.1600 0.02094 1.07670 2.13740 3.20297 4.26250 5.29473 6.32826 7.37298
-0.1584 0.02110 1.07693 2.13779 3.20363 4.26339 5.29535 6.32860 7.37323
-0.1568 0.02126 1.07717 2.13818 3.20430 4.26430 5.29597 6.32895 7.37349
-0.1552 0.02143 1.07741 2.13858 3.20499 4.26523 5.29661 6.32930 7.37376
-0.1536 0.02160 1.07765 2.13898 3.20569 4.26617 5.29727 6.32966 7.37402
-0.1520 0.02176 1.07790 2.13940 3.20640 4.26714 5.29793 6.33002 7.37430
-0.1504 0.02193 1.07814 2.13981 3.20713 4.26813 5.29861 6.33039 7.37457
-0.1487 0.02211 1.07839 2.14024 3.20787 4.26913 5.29931 6.33077 7.37485
-0.1471 0.02228 1.07865 2.14067 3.20862 4.27017 5.30002 6.33115 7.37514
-0.1455 0.02246 1.07891 2.14111 3.20939 4.27122 5.30074 6.33155 7.37543
-0.1439 0.02264 1.07917 2.14156 3.21017 4.27229 5.30148 6.33194 7.37573
-0.1423 0.02282 1.07943 2.14201 3.21097 4.27339 5.30223 6.33235 7.37603
-0.1407 0.02300 1.07970 2.14247 3.21178 4.27452 5.30301 6.33277 7.37633
-0.1391 0.02319 1.07997 2.14294 3.21261 4.27567 5.30379 6.33319 7.37665
-0.1375 0.02337 1.08025 2.14341 3.21346 4.27684 5.30460 6.33362 7.37696
-0.1359 0.02356 1.08053 2.14389 3.21432 4.27805 5.30542 6.33406 7.37729
-0.1343 0.02376 1.08081 2.14439 3.21520 4.27928 5.30626 6.33450 7.37761
-0.1327 0.02395 1.08110 2.14488 3.21610 4.28053 5.30713 6.33496 7.37795
-0.1311 0.02415 1.08139 2.14539 3.21702 4.28182 5.30800 6.33543 7.37829
-0.1295 0.02435 1.08169 2.14591 3.21795 4.28314 5.30890 6.33590 7.37864
-0.1279 0.02455 1.08199 2.14643 3.21891 4.28448 5.30982 6.33638 7.37899
-0.1263 0.02475 1.08229 2.14697 3.21988 4.28586 5.31077 6.33688 7.37935
-0.1247 0.02496 1.08260 2.14751 3.22087 4.28728 5.31173 6.33738 7.37971
-0.1231 0.02517 1.08291 2.14806 3.22189 4.28872 5.31271 6.33789 7.38009
-0.1215 0.02538 1.08323 2.14862 3.22293 4.29020 5.31372 6.33842 7.38047
-0.1199 0.02559 1.08355 2.14920 3.22398 4.29172 5.31475 6.33895 7.38085
-0.1183 0.02581 1.08388 2.14978 3.22506 4.29327 5.31581 6.33950 7.38125
-0.1167 0.02603 1.08421 2.15037 3.22617 4.29487 5.31689 6.34005 7.38165
