w Aex Ahw
2.3138 0.01414 0.01414
2.3450 0.01497 0.01497
2.3762 0.01588 0.01588
2.4075 0.01688 0.01688
2.4387 0.01798 0.01798
2.4699 0.01919 0.01919
2.5012 0.02053 0.02053
2.5324 0.02203 0.02203
2.5636 0.02370 0.02370
2.5949 0.02558 0.02558
2.6261 0.02769 0.02769
2.6573 0.03008 0.03008
2.6886 0.03280 0.03280
2.7198 0.03592 0.03592
2.7510 0.03951 0.03951
2.7823 0.04368 0.04368
2.8135 0.04854 0.04854
2.8448 0.05428 0.05428
2.8760 0.06108 0.06108
2.9072 0.06924 0.06924
2.9385 0.07912 0.07912
2.9697 0.09119 0.09119
3.0009 0.10611 0.10611
3.0322 0.12475 0.12475
3.0634 0.14827 0.14827
3.0946 0.17817 0.17817
3.1259 0.21630 0.21630
3.1571 0.26462 0.26462
3.1883 0.32437 0.32437
3.2196 0.39409 0.39409
3.2508 0.46620 0.46620
3.2820 0.52437 0.52437
3.3133 0.54813 0.54813
3.3445 0.52731 0.52731
3.3758 0.47157 0.47157
3.4070 0.40134 0.40134
3.4382 0.33324 0.33324
3.4695 0.27514 0.27514
3.5007 0.22868 0.22868
3.5319 0.19272 0.19272
3.5632 0.16538 0.16538
3.5944 0.14491 0.14491
3.6256 0.12992 0.12992
3.6569 0.11940 0.11940
3.6881 0.11269 0.11269
3.7193 0.10944 0.10944
3.7506 0.10955 0.10955
3.7818 0.11317 0.11317
3.8130 0.12065 0.12065
3.8443 0.13254 0.13254
3.8755 0.14926 0.14926
3.9068 0.17063 0.17063
3.9380 0.19470 0.19470
3.9692 0.21646 0.21646
4.0005 0.22836 0.22836
4.0317 0.22456 0.22456
4.0629 0.20607 0.20607
4.0942 0.17973 0.17973
4.1254 0.15260 0.15260
4.1566 0.12870 0.12870
4.1879 0.10927 0.10927
4.2191 0.09414 0.09414
4.2503 0.08267 0.08267
4.2816 0.07422 0.07422
4.3128 0.06825 0.06825
4.3440 0.06441 0.06441
4.3753 0.06251 0.06251
