w Ahw
2.3138 0.01414
2.8448 0.05428
3.3758 0.47157
3.9068 0.17063
4.4378 0.06433
4.9688 0.03897
5.4997 0.11569
6.0307 0.01954
6.5617 0.02429
7.0927 0.03475
7.6237 0.00691
8.1547 0.00438
8.6857 0.00194
9.2167 0.00134
9.7477 0.00164
10.2787 0.00099
10.8097 0.00067
11.3407 0.00059
11.8717 0.00047
12.4027 0.00039
12.9337 0.00034
13.4647 0.00029
13.9957 0.00026
14.5267 0.00023
15.0577 0.00021
15.5887 0.00019
16.1197 0.00017
16.6507 0.00016
17.1817 0.00014
17.7127 0.00013
18.2437 0.00012
18.7747 0.00011
19.3057 0.00011
19.8367 0.00010
20.3677 0.00009
20.8987 0.00009
