x y
0.18 21.0661
0.18 16.1609
0.18 29.951
0.18 21.3022
0.18 33.728
0.18 15.0558
0.18 57.2787
0.18 36.1383
0.18 16.9145
0.18 19.0544
0.18 27.0142
0.18 17.8042
0.18 31.2655
0.18 22.3655
0.18 43.2728
0.18 22.3768
0.18 18.5343
0.18 18.5343
0.18 23.621
0.18 23.621
0.18 26.4518
0.18 26.4518
0.18 23.6049
0.18 23.6054
0.18 19.0544
0.18 16.9145
0.18 17.8042
0.18 27.0142
0.18 22.3655
0.18 31.2655
0.18 22.3768
0.18 43.2728
0.18 16.1609
0.18 21.0661
0.18 21.3021
0.18 29.9511
0.18 15.0552
0.18 33.7282
0.18 36.1416
0.18 57.2786
0.18 19.0544
0.18 16.9145
0.18 17.8042
0.18 27.0142
0.18 22.3654
0.18 31.2654
0.18 22.3768
0.18 43.2728
0.18 18.5343
0.18 18.5343
0.18 23.621
0.18 23.621
0.18 26.4518
0.18 26.4518
0.18 23.6051
0.18 23.605
0.18 16.9145
0.18 19.0544
0.18 27.0142
0.18 17.8042
0.18 31.2655
0.18 22.3655
0.18 43.2728
0.18 22.3769
