x y
0.5 21.0661
0.5 16.1609
0.7 29.951
0.7 21.3022
0.85 33.728
0.85 15.0558
0.95 57.2787
0.95 36.1383
0.5 16.9145
0.5 19.0544
0.7 27.0142
0.7 17.8042
0.85 31.2655
0.85 22.3655
0.95 43.2728
0.95 22.3768
0.5 18.5343
0.5 18.5343
0.7 23.621
0.7 23.621
0.85 26.4518
0.85 26.4518
0.95 23.6049
0.95 23.6054
0.5 19.0544
0.5 16.9145
0.7 17.8042
0.7 27.0142
0.85 22.3655
0.85 31.2655
0.95 22.3768
0.95 43.2728
0.5 16.1609
0.5 21.0661
0.7 21.3021
0.7 29.9511
0.85 15.0552
0.85 33.7282
0.95 36.1416
0.95 57.2786
0.5 19.0544
0.5 16.9145
0.7 17.8042
0.7 27.0142
0.85 22.3654
0.85 31.2654
0.95 22.3768
0.95 43.2728
0.5 18.5343
0.5 18.5343
0.7 23.621
0.7 23.621
0.85 26.4518
0.85 26.4518
0.95 23.6051
0.95 23.605
0.5 16.9145
0.5 19.0544
0.7 27.0142
0.7 17.8042
0.85 31.2655
0.85 22.3655
0.95 43.2728
0.95 22.3769
