x y
0.15 49.8248
0.15 318.87
0.15 1711.11
0.15 23343.7
0.15 1.69421e+06
0.15 12.7753
0.15 22.236
0.15 17.8403
0.15 21.0589
0.15 17.1586
0.15 412.615
0.15 96.8779
0.15 81.0059
0.15 255.568
0.15 378.609
0.15 468.313
0.15 372.081
0.15 189.754
0.15 118.072
0.15 89.2611
0.15 74.6724
0.15 45.7905
0.15 43.7884
0.15 41.198
0.15 23.7496
0.05 93.1231
0.05 615.266
0.05 3328.79
0.05 46080.7
0.05 3.66454e+06
0.05 41.7732
0.05 91.9911
0.05 72.3407
0.05 87.9334
0.05 62.1204
0.05 1683.44
0.05 129.743
0.05 468.392
0.05 791.615
0.05 950.807
0.05 754.562
0.05 697.858
0.05 241.717
0.05 194.424
0.05 156.243
0.05 214.216
0.05 150.131
0.05 119.939
0.05 97.4302
0.15 90.2297
0.15 585.025
0.15 10135.7
0.15 9.27405
0.15 15.3767
0.15 5.44559
0.15 104.458
0.15 54.0749
0.15 138.772
0.15 224.584
0.15 203.105
0.15 116.317
0.15 65.268
0.15 31.8796
0.15 25.7707
0.15 10.4759
0.15 9.29355
0.15 8.90004
0.15 8.85349
0.15 6.32915
0.18 46.1917
0.18 107.882
0.18 402.828
0.18 3873.78
0.18 14.3554
0.18 25.8868
0.18 48.9848
0.18 18.8182
0.18 41.0102
0.18 71.1286
0.18 53.7715
0.18 35.4202
0.18 28.5736
0.18 24.5204
0.18 25.0128
0.18 21.7539
0.18 28.2299
0.18 22.1051
0.18 22.0388
0.18 20.3088
0.18 20.3088
0.4 2.25162
0.07 59.622
0.03 35.9
0.4 3.04725
0.9 2.10105
0.4 3.21755
0.07 32.7313
0.22 448.391
0.07 30.7605
0.9 20.7486
0.03 216624
0.9 5.86356
0.22 206.435
0.9 4.80414
0.22 10.0259
0.18 23.022
0.18 13.5
0.18 17.7946
0.18 20.677
0.18 100.346
0.18 17.0923
0.18 15.5261
0.18 10.5197
0.18 21.0475
0.18 15.9495
0.18 21.1456
0.18 16.7192
0.18 10.5197
0.18 15.4661
0.18 15.9495
0.18 21.0475
0.18 16.7192
0.18 21.1456
0.18 13.5
0.18 22.4512
0.18 20.6763
0.18 17.818
0.18 17.0566
0.18 100.335
0.18 10.523
0.18 15.4969
0.18 15.9495
0.18 21.0475
0.18 16.7192
0.18 21.1456
0.18 15.4962
0.18 10.5211
0.18 21.0535
0.18 15.9495
0.18 21.1456
0.18 16.7192
0.18 21.0661
0.18 16.1609
0.18 29.951
0.18 21.3022
0.18 33.728
0.18 15.0558
0.18 57.2787
0.18 36.1383
0.18 16.9145
0.18 19.0544
0.18 27.0142
0.18 17.8042
0.18 31.2655
0.18 22.3655
0.18 43.2728
0.18 22.3768
0.18 18.5343
0.18 18.5343
0.18 23.621
0.18 23.621
0.18 26.4518
0.18 26.4518
0.18 23.6049
0.18 23.6054
0.18 19.0544
0.18 16.9145
0.18 17.8042
0.18 27.0142
0.18 22.3655
0.18 31.2655
0.18 22.3768
0.18 43.2728
0.18 16.1609
0.18 21.0661
0.18 21.3021
0.18 29.9511
0.18 15.0552
0.18 33.7282
0.18 36.1416
0.18 57.2786
0.18 19.0544
0.18 16.9145
0.18 17.8042
0.18 27.0142
0.18 22.3654
0.18 31.2654
0.18 22.3768
0.18 43.2728
0.18 18.5343
0.18 18.5343
0.18 23.621
0.18 23.621
0.18 26.4518
0.18 26.4518
0.18 23.6051
0.18 23.605
0.18 16.9145
0.18 19.0544
0.18 27.0142
0.18 17.8042
0.18 31.2655
0.18 22.3655
0.18 43.2728
0.18 22.3769
0.15 59.97
0.15 185.374
0.15 294.113
0.15 260.529
0.15 230.065
0.15 86.4935
0.15 80.9267
0.15 53.9868
0.15 32.1844
0.15 16.7308
0.15 15.0629
0.15 15.0629
0.15 11.651
0.15 78.9272
0.15 161.885
0.15 317.014
0.15 433.031
0.15 393.781
0.15 188.467
0.15 86.0295
0.15 68.3965
0.15 39.142
0.15 37.4336
0.15 25.9244
0.15 20.8835
0.15 18.6181
0.15 58.2951
0.15 117.927
0.15 137.617
0.15 262.265
0.15 219.514
0.15 70.3923
0.15 43.3175
0.15 29.1292
0.15 19.6207
0.15 17.0469
0.15 16.4203
0.15 16.7864
0.15 14.9605
0.15 51.107
0.15 125.164
0.15 160.114
0.15 172.839
0.15 153.928
0.15 48.2768
0.15 32.2895
0.15 25.0175
0.15 18.4425
0.15 15.9416
0.15 14.6913
0.15 13.9455
0.15 13.5107
0.15 44.9849
0.15 89.669
0.15 201.982
0.15 229.252
0.15 254.685
0.15 106.358
0.15 72.3626
0.15 54.4892
0.15 25.2791
0.15 19.7058
0.15 19.7058
0.15 19.48
0.15 19.48
0.15 59.4591
0.15 219.171
0.15 340.255
0.15 381.777
0.15 245.458
0.15 134.038
0.15 109.668
0.15 50.4884
0.15 29.14
0.15 24.845
0.15 20.8906
0.15 17.1724
0.15 22.8195
0.15 71.7041
0.15 335.05
0.15 419.944
0.15 517.858
0.15 469.307
0.15 190.44
0.15 140.31
0.15 71.2774
0.15 51.9306
0.15 39.5225
0.15 35.6454
0.15 34.1295
0.15 25.6527
0.15 61.1217
0.15 261.739
0.15 285.586
0.15 386.89
0.15 559.246
0.15 207.26
0.15 129.644
0.15 110.999
0.15 60.3632
0.15 45.4636
0.15 40.5328
0.15 40.1146
0.15 29.3188
0.18 9.49782
0.18 9.54082
0.18 9.07975
0.18 10.1309
