x y
0.15 4.16194
0.15 20.4761
0.15 2.86795
0.15 4.23313
0.15 5.91178
0.15 0.541258
0.15 0.772647
0.15 0.603089
0.15 0.76125
0.15 1.05803
0.15 0.576719
0.15 0.577991
0.15 0.542411
0.15 0.538219
0.15 0.774851
0.15 0.658547
0.15 1.28566
0.15 4.73588
0.15 1.19573
0.15 1.44007
0.15 3.25833
0.15 5.8379
0.15 2.19782
0.15 9.31668
0.05 6.06246
0.05 31.2752
0.05 4.13933
0.05 7.33168
0.05 11.4238
0.05 0.618623
0.05 0.50247
0.05 0.847058
0.05 0.510185
0.05 1.24903
0.05 0.572742
0.05 0.566029
0.05 0.582101
0.05 1.06683
0.05 0.753713
0.05 1.1962
0.05 1.08168
0.05 0.900225
0.05 1.16369
0.05 0.910908
0.05 1.77798
0.05 19.2085
0.05 1.25774
0.05 4.2059
0.05 29.9282
0.15 2.26233
0.15 4.33996
0.15 9.39874
0.15 24.4163
0.15 1.56865
0.15 2.0513
0.15 2.31465
0.15 5.30927
0.15 7.45697
0.15 0.546425
0.15 0.536533
0.15 0.561638
0.15 0.540927
0.15 1.11884
0.15 0.886073
0.15 0.695576
0.15 0.924942
0.15 0.822283
0.15 1.13607
0.15 0.734767
0.15 0.711563
0.15 0.898994
0.15 1.00457
0.15 1.89057
0.15 1.10473
0.15 5.37796
0.15 5.6364
0.15 4.04329
0.15 16.7255
0.18 2.79446
0.18 7.19439
0.18 21.4683
0.18 1.68931
0.18 3.26708
0.18 4.91343
0.18 10.6945
0.18 0.592847
0.18 0.504487
0.18 0.767342
0.18 0.514575
0.18 0.540954
0.18 0.538881
0.18 0.581605
0.18 0.55789
0.18 0.581035
0.18 0.702832
0.18 1.22047
0.18 0.621011
0.18 0.700505
0.18 1.82909
0.18 0.667198
0.18 1.18261
0.18 2.35865
0.18 10.6997
0.18 1.39499
0.18 7.47647
0.07 1.13791
0.22 1.52674
0.9 0.5
0.03 0.968891
0.07 1.60205
0.22 0.5
0.4 0.5
0.9 0.5
0.03 1.14193
0.07 2.26668
0.22 2.30274
0.4 0.674994
0.9 0.560864
0.03 17.4126
0.07 0.515502
0.22 0.5
0.4 0.794973
0.9 0.571755
0.03 14.9584
0.22 0.531822
0.4 0.602826
0.9 0.619163
0.03 0.5
0.07 0.5
0.22 0.512536
0.4 0.703548
0.9 0.651915
0.07 1.3078
0.22 1.47818
0.4 1.34468
0.9 0.5
0.03 0.863505
0.07 2.79673
0.22 3.19818
0.03 0.549165
0.07 0.59243
0.22 0.708773
0.4 0.5
0.9 0.5
0.03 0.50712
0.07 6.10425
0.22 4.07228
0.9 0.624396
0.03 21.0774
0.22 0.608095
0.4 0.5
0.9 0.925173
0.03 2.21432
0.07 9.17925
0.4 0.543372
0.9 0.653504
0.03 2.79916
0.07 0.5
0.22 0.5
0.4 0.523627
0.9 0.629679
0.03 3.09349
0.22 0.739624
0.4 0.965243
0.9 1.44845
0.03 0.570194
0.07 0.641817
0.22 1.01194
0.4 5.26891
0.07 0.550689
0.22 0.851442
0.4 2.39222
0.9 0.5
0.03 0.5
0.07 0.503538
0.22 5.84329
0.4 4.47741
0.03 8.46001
0.07 48.0798
0.4 0.5
0.9 0.5
0.03 14.6463
0.9 0.5
0.03 0.5
0.07 0.5
0.22 0.5
0.4 0.5
0.9 0.5
0.07 0.5
0.22 0.5
0.22 0.5
0.4 0.5
0.03 0.5
0.07 0.5
0.22 0.5
0.9 0.5
0.03 0.5
0.22 0.5
0.4 0.810127
0.03 0.500944
0.07 0.5
0.22 0.501918
0.4 0.5
0.9 0.5
0.03 0.5
0.07 0.500152
0.22 0.5
0.4 0.5
0.9 0.5
0.03 0.827489
0.07 2.24126
0.22 0.5
0.4 0.5
0.9 0.5
0.03 0.688668
0.07 1.40486
0.4 0.5
0.9 0.5
0.03 1.10032
0.07 0.5
0.22 0.5
0.4 0.5
0.9 0.5
0.03 0.522629
0.07 0.642933
0.22 0.501312
0.4 0.524241
0.9 0.811073
0.03 0.501225
0.07 0.503078
0.22 0.55699
0.18 12.271
0.18 10.7847
0.18 12.4441
0.18 15.7196
0.18 15.7196
0.18 12.4441
0.18 10.7168
0.18 12.2945
0.18 15.7196
0.18 12.4441
0.18 12.4441
0.18 15.7196
