x y
0.2 49.8248
0.3 318.87
0.4 1711.11
0.5 23343.7
0.6 1.69421e+06
0.5 12.7753
0.7 22.236
0.85 17.8403
0.9 21.0589
0.95 17.1586
0.99 412.615
0.9 96.8779
0.253333 81.0059
0.363333 255.568
0.426667 378.609
0.523333 468.313
0.603333 372.081
0.666667 189.754
0.706667 118.072
0.743333 89.2611
0.766667 74.6724
0.786667 45.7905
0.796667 43.7884
0.806667 41.198
0.816667 23.7496
0.2 93.1231
0.3 615.266
0.4 3328.79
0.5 46080.7
0.6 3.66454e+06
0.5 41.7732
0.7 91.9911
0.85 72.3407
0.9 87.9334
0.95 62.1204
0.99 1683.44
0.25 129.743
0.353333 468.392
0.446667 791.615
0.516667 950.807
0.603333 754.562
0.673333 697.858
0.733333 241.717
0.75 194.424
0.776667 156.243
0.783333 214.216
0.796667 150.131
0.806667 119.939
0.82 97.4302
0.4 90.2297
0.5 585.025
0.6 10135.7
0.85 9.27405
0.9 15.3767
0.95 5.44559
0.99 104.458
0.396667 54.0749
0.51 138.772
0.626667 224.584
0.723333 203.105
0.783333 116.317
0.836667 65.268
0.88 31.8796
0.89 25.7707
0.916667 10.4759
0.926667 9.29355
0.93 8.90004
0.933333 8.85349
0.946667 6.32915
0.3 46.1917
0.4 107.882
0.5 402.828
0.6 3873.78
0.7 14.3554
0.85 25.8868
0.9 48.9848
0.95 18.8182
0.366667 41.0102
0.543333 71.1286
0.646667 53.7715
0.72 35.4202
0.75 28.5736
0.783333 24.5204
0.816667 25.0128
0.85 21.7539
0.863333 28.2299
0.88 22.1051
0.896667 22.0388
0.903333 20.3088
0.903333 20.3088
0.75 2.25162
0.75 59.622
0.75 35.9
0.349567 3.04725
0.75 2.10105
0.75 3.21755
0.75 32.7313
0.75 448.391
0.75 30.7605
0.349567 20.7486
0.75 216624
0.75 5.86356
0.75 206.435
0.75 4.80414
0.75 10.0259
0.7 23.022
0.7 13.5
0.85 17.7946
0.85 20.677
0.95 100.346
0.95 17.0923
0.7 15.5261
0.7 10.5197
0.85 21.0475
0.85 15.9495
0.95 21.1456
0.95 16.7192
0.7 10.5197
0.7 15.4661
0.85 15.9495
0.85 21.0475
0.95 16.7192
0.95 21.1456
0.7 13.5
0.7 22.4512
0.85 20.6763
0.85 17.818
0.95 17.0566
0.95 100.335
0.7 10.523
0.7 15.4969
0.85 15.9495
0.85 21.0475
0.95 16.7192
0.95 21.1456
0.7 15.4962
0.7 10.5211
0.85 21.0535
0.85 15.9495
0.95 21.1456
0.95 16.7192
0.5 21.0661
0.5 16.1609
0.7 29.951
0.7 21.3022
