x y
0.05 4.16194
0.1 20.4761
0.1 2.86795
0.2 4.23313
0.3 5.91178
0.1 0.541258
0.1 0.772647
0.1 0.603089
0.1 0.76125
0.3 1.05803
0.3 0.576719
0.3 0.577991
0.3 0.542411
0.5 0.538219
0.5 0.774851
0.5 0.658547
0.5 1.28566
0.7 4.73588
0.7 1.19573
0.7 1.44007
0.7 3.25833
0.9 5.8379
0.9 2.19782
0.9 9.31668
0.05 6.06246
0.1 31.2752
0.1 4.13933
0.2 7.33168
0.3 11.4238
0.1 0.618623
0.1 0.50247
0.1 0.847058
0.1 0.510185
0.3 1.24903
0.3 0.572742
0.3 0.566029
0.3 0.582101
0.5 1.06683
0.5 0.753713
0.5 1.1962
0.5 1.08168
0.7 0.900225
0.7 1.16369
0.7 0.910908
0.7 1.77798
0.9 19.2085
0.9 1.25774
0.9 4.2059
0.9 29.9282
0.05 2.26233
0.1 4.33996
0.2 9.39874
0.3 24.4163
0.1 1.56865
0.2 2.0513
0.3 2.31465
0.5 5.30927
0.7 7.45697
0.1 0.546425
0.1 0.536533
0.1 0.561638
0.1 0.540927
0.3 1.11884
0.3 0.886073
0.3 0.695576
0.3 0.924942
0.5 0.822283
0.5 1.13607
0.5 0.734767
0.5 0.711563
0.7 0.898994
0.7 1.00457
0.7 1.89057
0.7 1.10473
0.9 5.37796
0.9 5.6364
0.9 4.04329
0.9 16.7255
0.05 2.79446
0.1 7.19439
0.2 21.4683
0.1 1.68931
0.2 3.26708
0.3 4.91343
0.5 10.6945
0.1 0.592847
0.1 0.504487
0.1 0.767342
0.1 0.514575
0.3 0.540954
0.3 0.538881
0.3 0.581605
0.3 0.55789
0.5 0.581035
0.5 0.702832
0.5 1.22047
0.5 0.621011
0.7 0.700505
0.7 1.82909
0.7 0.667198
0.7 1.18261
0.9 2.35865
0.9 10.6997
0.9 1.39499
0.9 7.47647
0.0995671 1.13791
0.349567 1.52674
0.0995671 0.5
0.349567 0.968891
0.75 1.60205
0.0995671 0.5
0.349567 0.5
0.75 0.5
0.0995671 1.14193
0.349567 2.26668
0.75 2.30274
0.0995671 0.674994
0.349567 0.560864
0.75 17.4126
0.0995671 0.515502
0.349567 0.5
0.75 0.794973
0.0995671 0.571755
0.349567 14.9584
0.0995671 0.531822
0.349567 0.602826
0.75 0.619163
0.0995671 0.5
0.349567 0.5
0.75 0.512536
0.0995671 0.703548
0.349567 0.651915
0.0995671 1.3078
0.349567 1.47818
0.75 1.34468
0.0995671 0.5
0.349567 0.863505
0.75 2.79673
0.0995671 3.19818
0.0995671 0.549165
0.349567 0.59243
0.75 0.708773
0.0995671 0.5
0.349567 0.5
0.75 0.50712
0.0995671 6.10425
0.349567 4.07228
0.0995671 0.624396
0.349567 21.0774
0.0995671 0.608095
0.349567 0.5
0.75 0.925173
0.0995671 2.21432
0.349567 9.17925
0.0995671 0.543372
0.349567 0.653504
0.75 2.79916
0.0995671 0.5
0.349567 0.5
0.75 0.523627
0.0995671 0.629679
0.349567 3.09349
0.0995671 0.739624
0.349567 0.965243
0.75 1.44845
0.0995671 0.570194
0.349567 0.641817
0.75 1.01194
0.0995671 5.26891
0.0995671 0.550689
0.349567 0.851442
0.75 2.39222
0.0995671 0.5
0.349567 0.5
0.75 0.503538
0.0995671 5.84329
0.349567 4.47741
0.0995671 8.46001
0.349567 48.0798
0.0995671 0.5
0.349567 0.5
0.75 14.6463
0.1 0.5
0.35 0.5
0.75 0.5
0.1 0.5
0.35 0.5
0.75 0.5
0.1 0.5
0.35 0.5
0.1 0.5
0.35 0.5
0.1 0.5
0.35 0.5
0.75 0.5
0.1 0.5
0.35 0.5
0.1 0.5
0.35 0.810127
0.1 0.500944
0.35 0.5
0.75 0.501918
0.1 0.5
0.35 0.5
0.75 0.5
0.1 0.500152
0.35 0.5
0.75 0.5
0.1 0.5
0.35 0.827489
0.75 2.24126
0.1 0.5
0.35 0.5
0.75 0.5
0.1 0.688668
0.35 1.40486
0.1 0.5
0.35 0.5
0.75 1.10032
0.1 0.5
0.35 0.5
0.75 0.5
0.1 0.5
0.35 0.522629
0.75 0.642933
0.1 0.501312
0.35 0.524241
0.75 0.811073
0.1 0.501225
0.35 0.503078
0.75 0.55699
0.5 12.271
0.5 10.7847
0.5 12.4441
0.5 15.7196
0.5 15.7196
0.5 12.4441
0.5 10.7168
0.5 12.2945
0.5 15.7196
0.5 12.4441
0.5 12.4441
0.5 15.7196
