x y
0.15 0.485783
0.15 0.498102
0.15 0.308721
0.15 0.30059
0.15 0.331387
0.15 0.321625
0.15 0.279196
0.15 0.180558
0.15 0.178817
0.15 0.157511
0.15 0.131416
0.15 0.0781264
0.15 0.0552192
0.15 0.485397
0.15 0.339419
0.15 0.276987
0.15 0.116869
0.15 0.0305095
0.15 0.00241244
0.15 0.00129448
0.15 0.000299871
0.15 3.14296e-05
0.15 0.995582
0.15 0.766915
0.15 0.798288
0.15 0.768323
0.15 0.629664
0.15 0.655923
0.15 0.801913
0.15 0.926317
0.15 0.806115
0.15 0.630029
0.15 0.571112
0.15 0.513623
0.15 0.348494
0.15 0.47483
0.15 0.378256
0.15 0.254822
0.15 0.227402
0.15 0.306005
0.15 0.264394
0.15 0.228819
0.15 0.269445
0.15 0.264918
0.15 0.256329
0.15 0.267541
0.15 0.18479
0.15 0.0859559
0.15 0.0501999
0.15 0.0313268
0.15 0.0230508
0.15 0.0141331
0.15 0.0135152
0.15 0.0118537
0.15 0.00683336
0.15 0.180558
0.15 0.0064342
0.05 0.707612
0.05 0.760803
0.05 0.577003
0.05 0.579994
0.05 0.644678
0.05 0.63489
0.05 0.603897
0.05 0.504958
0.05 0.506055
0.05 0.469593
0.05 0.410969
0.05 0.262017
0.05 0.210831
0.05 0.700577
0.05 0.587866
0.05 0.535246
0.05 0.382141
0.05 0.126219
0.05 0.00884437
0.05 0.00244961
0.05 0.000363988
0.05 3.74906e-05
0.05 0.873908
0.05 0.997961
0.05 0.857546
0.05 0.999391
0.05 0.789517
0.05 0.908455
0.05 0.952067
0.05 0.951727
0.05 0.759147
0.05 0.689287
0.05 0.740348
0.05 0.68066
0.05 0.546998
0.05 0.836182
0.05 0.657096
0.05 0.54393
0.05 0.479002
0.05 0.495997
0.05 0.450246
0.05 0.417343
0.05 0.449489
0.05 0.555007
0.05 0.551472
0.05 0.611389
0.05 0.460834
0.05 0.376244
0.05 0.127864
0.05 0.102828
0.05 0.0826348
0.05 0.0720399
0.05 0.0484611
0.05 0.0387154
0.05 0.0314497
0.05 0.504958
0.05 0.0319945
0.15 0.720614
0.15 0.595283
0.15 0.462019
0.15 0.342335
0.15 0.38313
0.15 0.355847
0.15 0.351377
0.15 0.291134
0.15 0.286699
0.15 0.255224
0.15 0.213376
0.15 0.138254
0.15 0.0898365
0.15 0.716893
0.15 0.493129
0.15 0.367787
0.15 0.293028
0.15 0.106478
0.15 0.0196647
0.15 0.00698214
0.15 0.00203831
0.15 0.00036215
0.15 0.964346
0.15 0.968812
0.15 0.940817
0.15 0.985793
0.15 0.835487
0.15 0.724711
0.15 0.916483
0.15 0.862129
0.15 0.835371
0.15 0.606524
0.15 0.709222
0.15 0.837806
0.15 0.682778
0.15 0.510328
0.15 0.47945
0.15 0.609263
0.15 0.320921
0.15 0.235498
0.15 0.425237
0.15 0.227756
0.15 0.36863
0.15 0.330129
0.15 0.309488
0.15 0.192658
0.15 0.107228
0.15 0.0584437
0.15 0.0274825
0.15 0.0222161
0.15 0.00868372
0.15 0.00770368
0.15 0.00737735
0.15 0.00733876
0.15 0.00496449
0.15 0.291134
0.15 0.0133544
0.18 0.466705
0.18 0.471805
0.18 0.438571
0.18 0.409293
0.18 0.327624
0.18 0.249106
0.18 0.216034
0.18 0.215743
0.18 0.197809
0.18 0.19571
0.18 0.170018
0.18 0.0919521
0.18 0.0530106
0.18 0.486911
0.18 0.501001
0.18 0.310029
0.18 0.191716
0.18 0.0456412
0.18 0.0134673
0.18 0.00548777
0.18 0.00122489
0.18 0.75348
0.18 0.874151
0.18 0.699506
0.18 0.752366
0.18 0.724997
0.18 0.918175
0.18 0.646664
0.18 0.932647
0.18 0.568051
0.18 0.493094
0.18 0.447784
0.18 0.588547
0.18 0.534798
0.18 0.398536
0.18 0.431239
0.18 0.343078
0.18 0.203434
0.18 0.279111
0.18 0.227617
0.18 0.269489
0.18 0.309643
0.18 0.2385
0.18 0.158378
0.18 0.0912595
0.18 0.0598081
0.18 0.0316171
0.18 0.0230772
0.18 0.0185683
0.18 0.0166325
0.18 0.0126139
0.18 0.00945059
0.18 0.0082398
0.18 0.0082398
0.18 0.215743
0.07 0.540411
0.22 0.124673
0.4 0.00808641
0.9 0.855113
0.03 0.788322
0.07 0.462011
0.22 0.999881
0.4 0.987769
0.9 0.746348
0.03 0.620936
0.07 0.318551
0.22 0.0328847
0.4 0.517732
0.9 0.111672
0.03 0.442355
0.07 0.830712
0.22 0.4152
0.4 0.0753575
0.9 0.163603
0.03 0.533974
0.07 0.0294651
0.22 0.913946
0.4 0.681358
0.9 0.220939
0.03 0.999983
0.07 0.99636
0.22 0.882393
0.4 0.237699
0.9 0.0523174
0.03 0.22849
0.07 0.641497
0.22 0.155699
0.4 0.0173893
0.9 0.563109
0.03 0.601344
0.07 0.299263
0.22 0.253317
0.4 0.0155015
0.9 0.000763494
0.03 0.968558
0.07 0.834339
0.22 0.26246
0.4 1
0.9 0.999767
0.03 0.987865
0.07 0.602576
0.22 0.0872926
0.4 0.00610175
0.9 0.0991367
0.03 0.462937
0.07 0.0484202
0.22 0.569408
0.4 0.336204
0.9 0.0569722
0.03 0.72811
0.07 0.413149
0.22 0.163676
0.4 0.906568
0.9 0.578282
0.03 0.551775
0.07 0.999996
0.22 0.996694
0.4 0.871616
0.9 0.340934
0.03 0.544015
0.07 0.305651
