x y
0.05 0.485783
0.1 0.498102
0.2 0.308721
0.3 0.30059
0.4 0.331387
0.5 0.321625
0.6 0.279196
0.666667 0.180558
0.7 0.178817
0.8 0.157511
0.9 0.131416
0.95 0.0781264
0.99 0.0552192
0.1 0.485397
0.2 0.339419
0.3 0.276987
0.5 0.116869
0.7 0.0305095
0.85 0.00241244
0.9 0.00129448
0.95 0.000299871
0.99 3.14296e-05
0.1 0.995582
0.1 0.766915
0.1 0.798288
0.1 0.768323
0.3 0.629664
0.3 0.655923
0.3 0.801913
0.3 0.926317
0.5 0.806115
0.5 0.630029
0.5 0.571112
0.5 0.513623
0.7 0.348494
0.7 0.47483
0.7 0.378256
0.7 0.254822
0.9 0.227402
0.9 0.306005
0.9 0.264394
0.9 0.228819
0.253333 0.269445
0.363333 0.264918
0.426667 0.256329
0.523333 0.267541
0.603333 0.18479
0.666667 0.0859559
0.706667 0.0501999
0.743333 0.0313268
0.766667 0.0230508
0.786667 0.0141331
0.796667 0.0135152
0.806667 0.0118537
0.816667 0.00683336
0.666667 0.180558
0.933333 0.0064342
0.05 0.707612
0.1 0.760803
0.2 0.577003
0.3 0.579994
0.4 0.644678
0.5 0.63489
0.6 0.603897
0.666667 0.504958
0.7 0.506055
0.8 0.469593
0.9 0.410969
0.95 0.262017
0.99 0.210831
0.1 0.700577
0.2 0.587866
0.3 0.535246
0.5 0.382141
0.7 0.126219
0.85 0.00884437
0.9 0.00244961
0.95 0.000363988
0.99 3.74906e-05
0.1 0.873908
0.1 0.997961
0.1 0.857546
0.1 0.999391
0.3 0.789517
0.3 0.908455
0.3 0.952067
0.3 0.951727
0.5 0.759147
0.5 0.689287
0.5 0.740348
0.5 0.68066
0.7 0.546998
0.7 0.836182
0.7 0.657096
0.7 0.54393
0.9 0.479002
0.9 0.495997
0.9 0.450246
0.9 0.417343
0.25 0.449489
0.353333 0.555007
0.446667 0.551472
0.516667 0.611389
0.603333 0.460834
0.673333 0.376244
0.733333 0.127864
0.75 0.102828
0.776667 0.0826348
0.783333 0.0720399
0.796667 0.0484611
0.806667 0.0387154
0.82 0.0314497
0.666667 0.504958
0.933333 0.0319945
0.05 0.720614
0.1 0.595283
0.2 0.462019
0.3 0.342335
0.4 0.38313
0.5 0.355847
0.6 0.351377
0.666667 0.291134
0.7 0.286699
0.8 0.255224
0.9 0.213376
0.95 0.138254
0.99 0.0898365
0.1 0.716893
0.2 0.493129
0.3 0.367787
0.5 0.293028
0.7 0.106478
0.85 0.0196647
0.9 0.00698214
0.95 0.00203831
0.99 0.00036215
0.1 0.964346
0.1 0.968812
0.1 0.940817
0.1 0.985793
0.3 0.835487
0.3 0.724711
0.3 0.916483
0.3 0.862129
0.5 0.835371
0.5 0.606524
0.5 0.709222
0.5 0.837806
0.7 0.682778
0.7 0.510328
0.7 0.47945
0.7 0.609263
0.9 0.320921
0.9 0.235498
0.9 0.425237
0.9 0.227756
