eps na na_lo na_hi sc sc_lo sc_hi
0.000 0.1048 0.0727 0.1368 0.1048 0.0727 0.1368
0.010 0.1239 0.0923 0.1554 0.0833 0.0606 0.1061
0.020 0.1406 0.1061 0.1750 0.0647 0.0418 0.0875
0.040 0.1875 0.1435 0.2315 0.0555 0.0362 0.0748
0.060 0.2221 0.1707 0.2736 0.0504 0.0298 0.0710
0.080 0.2637 0.2294 0.2980 0.0560 0.0419 0.0700
0.100 0.3165 0.2659 0.3672 0.0483 0.0242 0.0723
0.130 0.3883 0.3441 0.4324 0.0454 0.0193 0.0714
0.160 0.4223 0.3387 0.5058 0.0456 0.0159 0.0752
0.200 0.4299 0.3989 0.4610 0.0802 0.0245 0.1359
