t Fn Sn nn F S n
0.000000000000000000e+00 9.598782218562382784e-01 6.459805869301938896e-01 3.823529411764705621e-01 1.059712943514102612e+01 8.327738299877922579e-01 5.200000000000000000e+01
1.000000000000000000e+00 9.712546962003044682e-01 7.008722261679781740e-01 6.617647058823529216e-01 1.072272658735736961e+01 9.035380627948340626e-01 9.000000000000000000e+01
2.000000000000000000e+00 9.741404630821186572e-01 9.501311558383311873e-01 7.573529411764705621e-01 1.075458567580203706e+01 1.224873282025917165e+00 1.030000000000000000e+02
3.000000000000000000e+00 9.754124191831007318e-01 5.168239418839074562e-01 7.794117647058823595e-01 1.076862816903816622e+01 6.662699502431943532e-01 1.060000000000000000e+02
4.000000000000000000e+00 9.783927974426500640e-01 4.902899230412040010e-01 7.500000000000000000e-01 1.080153177437369294e+01 6.320632930406703265e-01 1.020000000000000000e+02
5.000000000000000000e+00 9.881185457152974472e-01 6.419130088809184009e-01 8.161764705882352811e-01 1.090890478373266603e+01 8.275300616464450476e-01 1.110000000000000000e+02
6.000000000000000000e+00 1.000000000000000000e+00 9.007774219283332107e-01 9.632352941176470784e-01 1.104007695335353390e+01 1.161248308080889302e+00 1.310000000000000000e+02
7.000000000000000000e+00 9.911919514815257237e-01 7.209969401428075741e-01 9.779411764705882026e-01 1.094283541990070674e+01 9.294820856854764113e-01 1.330000000000000000e+02
8.000000000000000000e+00 9.867866527287156853e-01 6.348627612848741775e-01 9.191176470588234837e-01 1.089420058266717106e+01 8.184411481222457763e-01 1.250000000000000000e+02
9.000000000000000000e+00 9.912901246937244615e-01 6.828438337331069752e-01 8.308823529411765163e-01 1.094391925971813784e+01 8.802965386371847112e-01 1.130000000000000000e+02
1.000000000000000000e+01 9.921236537700137692e-01 8.952264196479170488e-01 9.264705882352941568e-01 1.095312148486322990e+01 1.154092165121081370e+00 1.260000000000000000e+02
1.100000000000000000e+01 9.949105503837016862e-01 9.489644878551767304e-01 9.117647058823529216e-01 1.098388903793938454e+01 1.223369257625938289e+00 1.240000000000000000e+02
1.200000000000000000e+01 9.956946106542802211e-01 9.859194015284625801e-01 9.044117647058823595e-01 1.099254512366263903e+01 1.271010139750304857e+00 1.230000000000000000e+02
1.300000000000000000e+01 9.862620737271158289e-01 1.000000000000000000e+00 7.794117647058823595e-01 1.088840919012139530e+01 1.289162316696343069e+00 1.060000000000000000e+02
1.400000000000000000e+01 9.879269394362718559e-01 9.272971861317450548e-01 9.338235294117647189e-01 1.090678943566747705e+01 1.195436588739600570e+00 1.270000000000000000e+02
1.500000000000000000e+01 9.988196589001485659e-01 9.825725654801302777e-01 1.000000000000000000e+00 1.102704589677996871e+01 1.266695524836634057e+00 1.360000000000000000e+02
